=== LARA ALL BONES ===
Bone: root ground | Parent: None
Bone: root hips | Parent: root ground
Bone: pelvis | Parent: root hips
Bone: leg left thigh | Parent: pelvis
Bone: leg left knee | Parent: leg left thigh
Bone: leg left ankle | Parent: leg left knee
Bone: leg left toes | Parent: leg left ankle
Bone: leg right thigh | Parent: pelvis
Bone: leg right knee | Parent: leg right thigh
Bone: leg right ankle | Parent: leg right knee
Bone: leg right toes | Parent: leg right ankle
Bone: spine lower | Parent: root hips
Bone: spine upper | Parent: spine lower
Bone: arm left shoulder 2 | Parent: spine upper
Bone: arm left elbow | Parent: arm left shoulder 2
Bone: arm left wrist | Parent: arm left elbow
Bone: weapon left | Parent: arm left wrist
Bone: arm left finger 2a | Parent: arm left wrist
Bone: arm left finger 2b | Parent: arm left finger 2a
Bone: arm left finger 2c | Parent: arm left finger 2b
Bone: arm left finger 3a | Parent: arm left wrist
Bone: arm left finger 3b | Parent: arm left finger 3a
Bone: arm left finger 3c | Parent: arm left finger 3b
Bone: arm left finger 4a | Parent: arm left wrist
Bone: arm left finger 4b | Parent: arm left finger 4a
Bone: arm left finger 4c | Parent: arm left finger 4b
Bone: arm left finger 5a | Parent: arm left wrist
Bone: arm left finger 5b | Parent: arm left finger 5a
Bone: arm left finger 5c | Parent: arm left finger 5b
Bone: arm left finger 1a | Parent: arm left wrist
Bone: arm left finger 1b | Parent: arm left finger 1a
Bone: arm left finger 1c | Parent: arm left finger 1b
Bone: arm right shoulder 2 | Parent: spine upper
Bone: arm right elbow | Parent: arm right shoulder 2
Bone: arm right wrist | Parent: arm right elbow
Bone: arm right finger 2a | Parent: arm right wrist
Bone: arm right finger 2b | Parent: arm right finger 2a
Bone: arm right finger 2c | Parent: arm right finger 2b
Bone: arm right finger 3a | Parent: arm right wrist
Bone: arm right finger 3b | Parent: arm right finger 3a
Bone: arm right finger 3c | Parent: arm right finger 3b
Bone: arm right finger 4a | Parent: arm right wrist
Bone: arm right finger 4b | Parent: arm right finger 4a
Bone: arm right finger 4c | Parent: arm right finger 4b
Bone: arm right finger 5a | Parent: arm right wrist
Bone: arm right finger 5b | Parent: arm right finger 5a
Bone: arm right finger 5c | Parent: arm right finger 5b
Bone: arm right finger 1a | Parent: arm right wrist
Bone: arm right finger 1b | Parent: arm right finger 1a
Bone: arm right finger 1c | Parent: arm right finger 1b
Bone: weapon right | Parent: arm right wrist
Bone: head neck lower | Parent: spine upper
Bone: head neck upper | Parent: head neck lower
Bone: head hair ponytail 1 | Parent: head neck upper
Bone: head hair ponytail 2 | Parent: head hair ponytail 1
Bone: head hair ponytail 3 | Parent: head hair ponytail 2
Bone: head hair ponytail 4 | Parent: head hair ponytail 3
Bone: head hair ponytail 5 | Parent: head hair ponytail 4
Bone: head hair ponytail 6 | Parent: head hair ponytail 5
Bone: head lip upper left 2 | Parent: head neck upper
Bone: head nostril right | Parent: head neck upper
Bone: head nostril left | Parent: head neck upper
Bone: head lip upper right 2 | Parent: head neck upper
Bone: head lip upper middle | Parent: head neck upper
Bone: head lip upper left 1 | Parent: head lip upper middle
Bone: head lip upper right 1 | Parent: head lip upper middle
Bone: head eyebrow right 1 | Parent: head neck upper
Bone: head eyebrow right 2 | Parent: head neck upper
Bone: head eyebrow right 3 | Parent: head neck upper
Bone: head eyebrow left 1 | Parent: head neck upper
Bone: head eyebrow left 2 | Parent: head neck upper
Bone: head eyebrow left 3 | Parent: head neck upper
Bone: head eyeball left | Parent: head neck upper
Bone: head eyeball right | Parent: head neck upper
Bone: head cheek right | Parent: head neck upper
Bone: head cheek left | Parent: head neck upper
Bone: head eyelid left upper | Parent: head neck upper
Bone: head eyelid left lower | Parent: head neck upper
Bone: head eyelid right upper | Parent: head neck upper
Bone: head eyelid right lower | Parent: head neck upper
Bone: head jaw | Parent: head neck upper
Bone: head lip lower left 2 | Parent: head jaw
Bone: head lip lower right 2 | Parent: head jaw
Bone: head lip lower middle | Parent: head jaw
Bone: head lip lower left 1 | Parent: head lip lower middle
Bone: head lip lower right 1 | Parent: head lip lower middle
Bone: head tongue | Parent: head jaw
Bone: glasses | Parent: head neck upper
